City,State,2018,2019,2020
Florence-Muscle Shoals, AL,"37,042","38,405","41,181"
Fond du Lac, WI,"48,245","49,922","52,813"
Fort Collins, CO,"53,836","55,935","58,725"
Fort Smith, AR-OK,"37,211","38,666","40,801"
Fort Wayne, IN,"46,551","47,762","50,238"
Fresno, CA,"41,248","43,019","48,495"
Gadsden, AL,"36,583","37,700","39,852"
Gainesville, FL,"43,026","44,734","47,729"
Gainesville, GA,"44,831","46,409","48,759"
Gettysburg, PA,"48,826","50,785","54,172"
Glens Falls, NY,"46,461","48,527","53,074"
Goldsboro, NC,"38,115","40,116","42,882"
Grand Forks, ND-MN,"49,813","51,429","57,102"
Grand Island, NE,"43,165","44,836","48,375"
Grand Junction, CO,"44,691","45,898","48,435"
Grand Rapids-Kentwood, MI,"49,040","50,474","54,037"
Grants Pass, OR,"40,980","43,694","46,913"
Great Falls, MT,"47,529","49,201","52,226"
Greeley, CO,"47,884","48,923","52,054"
Green Bay, WI,"51,276","52,453","55,159"
Greensboro-High Point, NC,"42,745","44,456","47,171"
Greenville, NC,"41,163","42,882","45,169"
Greenville-Anderson, SC,"44,160","45,505","47,836"
Gulfport-Biloxi, MS,"36,703","37,983","41,111"
Hagerstown-Martinsburg, MD-WV,"43,505","44,637","47,759"
Hammond, LA,"37,928","38,963","41,792"
Hanford-Corcoran, CA,"35,267","36,442","41,829"
Harrisburg-Carlisle, PA,"52,270","54,304","58,372"
Harrisonburg, VA,"39,471","40,413","43,232"
Hartford-East Hartford-Middletown, CT,"62,445","64,101","67,343"
Hattiesburg, MS,"38,334","39,076","41,779"
Hickory-Lenoir-Morganton, NC,"39,205","40,607","43,496"
Hilton Head Island-Bluffton, SC,"52,973","55,636","57,565"
Hinesville, GA,"34,575","34,832","37,578"
Homosassa Springs, FL,"38,263","39,701","41,933"
Hot Springs, AR,"40,053","41,502","44,358"
Houma-Thibodaux, LA,"42,818","44,110","47,259"
Houston-The Woodlands-Sugar Land, TX,"57,875","58,884","59,893"
Huntington-Ashland, WV-KY-OH,"40,335","41,287","44,423"
Huntsville, AL,"50,044","52,208","55,126"
Idaho Falls, ID,"45,205","49,578","51,729"
Indianapolis-Carmel-Anderson, IN,"54,874","57,629","60,431"
Iowa City, IA,"54,289","55,538","56,947"
Ithaca, NY,"44,692","46,052","49,486"
Jackson, MI,"39,359","40,413","44,889"
Jackson, MS,"43,423","44,794","47,992"
Jackson, TN,"39,585","41,503","44,123"
Jacksonville, FL,"50,411","52,184","55,125"
Jacksonville, NC,"40,077","40,671","43,122"
Janesville-Beloit, WI,"43,868","46,018","48,836"
Jefferson City, MO,"42,101","44,548","47,827"
Johnson City, TN,"39,978","41,519","44,020"
Johnstown, PA,"43,050","44,620","48,637"
Jonesboro, AR,"36,294","37,719","40,140"
Joplin, MO,"40,371","40,691","42,255"
Kahului-Wailuku-Lahaina, HI,"47,886","50,536","51,838"
Kalamazoo-Portage, MI,"47,968","49,305","52,403"
Kankakee, IL,"41,173","42,857","46,988"
Kansas City, MO-KS,"53,688","55,691","58,057"
Kennewick-Richland, WA,"43,203","45,361","49,042"
Killeen-Temple, TX,"42,169","43,033","45,574"
Kingsport-Bristol, TN-VA,"39,689","40,540","42,869"
Kingston, NY,"50,378","52,554","56,071"
Knoxville, TN,"46,341","48,179","50,540"
Kokomo, IN,"41,689","42,409","44,945"
La Crosse-Onalaska, WI-MN,"49,888","52,084","54,656"
Lafayette, LA,"43,657","44,556","47,553"
Lafayette-West Lafayette, IN,"39,453","40,106","42,467"
Lake Charles, LA,"48,516","49,517","50,935"
Lake Havasu City-Kingman, AZ,"33,083","34,274","36,529"
Lakeland-Winter Haven, FL,"36,048","37,183","39,760"
Lancaster, PA,"52,682","54,529","58,434"
Lansing-East Lansing, MI,"41,190","42,535","46,323"
Laredo, TX,"31,907","33,305","35,626"
Las Cruces, NM,"35,805","37,413","40,218"
Las Vegas-Henderson-Paradise, NV,"47,184","49,225","51,244"
Lawrence, KS,"43,888","45,174","47,494"
Lawton, OK,"41,236","42,700","45,538"
Lebanon, PA,"47,772","49,099","52,743"
Lewiston, ID-WA,"44,434","46,255","50,092"
Lewiston-Auburn, ME,"40,869","42,698","46,357"
Lexington-Fayette, KY,"47,827","49,814","52,559"
Lima, OH,"42,427","43,268","46,500"
Lincoln, NE,"49,479","50,565","53,057"
Little Rock-North Little Rock-Conway, AR,"45,563","47,032","49,837"
Logan, UT-ID,"39,190","41,538","44,508"
Longview, TX,"42,174","43,575","45,075"
Longview, WA,"43,407","45,124","48,232"
Los Angeles-Long Beach-Anaheim, CA,"61,594","64,705","69,805"
Louisville/Jefferson County, KY-IN,"50,313","52,288","55,676"
Lubbock, TX,"43,189","44,706","46,297"
Lynchburg, VA,"39,668","40,521","43,529"
Macon-Bibb County, GA,"40,191","41,402","44,520"
Madera, CA,"37,373","38,751","44,532"
Madison, WI,"59,266","61,743","64,280"
Manchester-Nashua, NH,"60,760","62,752","66,548"
Manhattan, KS,"45,802","47,291","49,865"
Mankato, MN,"46,008","46,951","50,562"
Mansfield, OH,"39,173","40,313","43,928"
McAllen-Edinburg-Mission, TX,"27,007","28,091","31,153"
Medford, OR,"45,903","47,708","51,824"
Memphis, TN-MS-AR,"46,481","47,904","51,155"
Merced, CA,"37,193","37,952","43,914"
Miami-Fort Lauderdale-Pompano Beach, FL,"59,189","61,362","64,190"
Michigan City-La Porte, IN,"42,248","43,065","46,274"
Midland, MI,"53,973","54,477","57,561"
Midland, TX,"130,647","135,900","124,667"
Milwaukee-Waukesha, WI,"56,253","57,860","60,499"
Minneapolis-St. Paul-Bloomington, MN-WI,"62,695","64,270","67,214"
Missoula, MT,"49,616","51,738","54,353"
Mobile, AL,"38,119","39,910","42,731"
Modesto, CA,"41,850","43,402","48,954"
Monroe, LA,"40,581","41,691","45,252"
Monroe, MI,"47,091","48,696","52,028"
Montgomery, AL,"43,156","44,473","47,446"
Morgantown, WV,"43,856","44,753","46,841"
Morristown, TN,"36,379","37,563","40,061"
Mount Vernon-Anacortes, WA,"50,703","53,221","57,315"
Muncie, IN,"36,727","38,153","40,948"
Muskegon, MI,"38,141","39,769","44,000"
Myrtle Beach-Conway-North Myrtle Beach, SC-NC,"39,867","41,213","43,477"
Napa, CA,"70,161","73,886","82,408"
Naples-Marco Island, FL,"99,997","103,205","103,865"
Nashville-Davidson--Murfreesboro--Franklin, TN,"59,105","61,516","62,076"
New Bern, NC,"41,910","44,765","48,121"
New Haven-Milford, CT,"54,773","56,710","60,092"
New Orleans-Metairie, LA,"52,574","54,660","57,891"
New York-Newark-Jersey City, NY-NJ-PA,"75,166","77,911","82,322"
Niles, MI,"47,325","48,231","52,395"
North Port-Sarasota-Bradenton, FL,"58,060","59,917","61,988"
Norwich-New London, CT,"56,567","58,122","61,191"
Ocala, FL,"37,497","38,754","41,553"
Ocean City, NJ,"60,246","63,203","67,836"
Odessa, TX,"49,458","52,079","49,887"
Ogden-Clearfield, UT,"43,682","46,201","49,371"
Oklahoma City, OK,"48,300","51,408","52,688"
Olympia-Lacey-Tumwater, WA,"49,483","52,010","56,007"
Omaha-Council Bluffs, NE-IA,"57,457","58,368","61,040"
Orlando-Kissimmee-Sanford, FL,"43,970","45,718","48,223"
Oshkosh-Neenah, WI,"47,644","48,943","50,840"
Owensboro, KY,"40,785","42,380","45,684"
Oxnard-Thousand Oaks-Ventura, CA,"60,238","63,190","67,422"
Palm Bay-Melbourne-Titusville, FL,"46,145","48,539","51,507"
Panama City, FL,"43,020","46,818","50,696"
Parkersburg-Vienna, WV,"43,479","45,758","47,706"
Pensacola-Ferry Pass-Brent, FL,"43,699","45,259","48,154"
Peoria, IL,"48,056","48,746","52,742"
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,"64,053","65,733","69,705"
Phoenix-Mesa-Chandler, AZ,"46,140","48,082","51,851"
Pine Bluff, AR,"33,869","35,151","37,962"
Pittsburgh, PA,"58,000","59,494","63,675"
Pittsfield, MA,"55,947","57,300","61,872"
Pocatello, ID,"37,248","38,901","42,186"
Portland-South Portland, ME,"57,732","59,724","63,497"
Portland-Vancouver-Hillsboro, OR-WA,"56,762","58,941","62,603"
Port St. Lucie, FL,"54,988","56,602","58,649"
Poughkeepsie-Newburgh-Middletown, NY,"53,225","55,508","59,690"
Prescott Valley-Prescott, AZ,"40,098","41,076","44,490"
Providence-Warwick, RI-MA,"53,771","56,197","60,897"
Provo-Orem, UT,"40,896","43,520","46,393"
Pueblo, CO,"37,969","39,533","43,196"
Punta Gorda, FL,"42,292","43,549","45,606"
Racine, WI,"49,191","50,729","53,094"
Raleigh-Cary, NC,"56,139","58,147","60,884"
Rapid City, SD,"50,230","52,133","55,187"
Reading, PA,"49,549","51,606","55,953"
Redding, CA,"44,549","46,417","51,649"
Reno, NV,"61,005","62,954","66,075"
Richmond, VA,"56,101","58,111","61,148"
Riverside-San Bernardino-Ontario, CA,"39,403","40,988","45,365"
Roanoke, VA,"46,032","46,891","50,215"
Rochester, MN,"54,635","55,770","59,842"
Rochester, NY,"50,554","52,480","56,477"
Rockford, IL,"43,824","44,621","47,982"
Rocky Mount, NC,"39,030","40,816","43,623"
Rome, GA,"37,593","38,630","41,238"
Sacramento-Roseville-Folsom, CA,"54,832","57,014","61,852"
Saginaw, MI,"39,289","41,659","45,328"
St. Cloud, MN,"45,837","47,119","50,850"
St. George, UT,"39,964","41,869","43,782"
St. Joseph, MO-KS,"38,098","40,709","43,061"
St. Louis, MO-IL,"55,533","57,615","60,844"
Salem, OR,"42,119","44,118","47,638"
Salinas, CA,"53,625","56,545","61,510"
Salisbury, MD-DE,"48,086","49,074","51,228"
Salt Lake City, UT,"51,253","54,456","58,008"
San Angelo, TX,"48,865","51,990","53,305"
San Antonio-New Braunfels, TX,"48,192","48,025","50,022"
San Diego-Chula Vista-Carlsbad, CA,"58,719","60,845","66,266"
San Francisco-Oakland-Berkeley, CA,"97,681","102,406","111,050"
San Jose-Sunnyvale-Santa Clara, CA,"106,568","112,693","121,619"
San Luis Obispo-Paso Robles, CA,"55,913","58,693","62,342"
Santa Cruz-Watsonville, CA,"65,751","68,990","75,957"
Santa Fe, NM,"58,525","60,301","63,004"
Santa Maria-Santa Barbara, CA,"60,818","62,715","67,879"
Santa Rosa-Petaluma, CA,"61,501","64,869","71,386"
Savannah, GA,"46,990","47,964","51,184"
Scranton--Wilkes-Barre, PA,"45,522","46,925","51,246"
Seattle-Tacoma-Bellevue, WA,"72,685","75,970","80,420"
Sebastian-Vero Beach, FL,"79,972","83,241","84,607"
Sebring-Avon Park, FL,"33,047","34,433","37,158"
Sheboygan, WI,"52,880","53,217","55,616"
Sherman-Denison, TX,"43,052","44,585","47,045"
Shreveport-Bossier City, LA,"46,853","48,256","52,391"
Sierra Vista-Douglas, AZ,"38,892","40,546","45,786"
Sioux City, IA-NE-SD,"50,677","52,855","56,131"
Sioux Falls, SD,"60,254","64,219","67,117"
South Bend-Mishawaka, IN-MI,"47,206","47,759","51,017"
Spartanburg, SC,"42,669","44,151","46,543"
Spokane-Spokane Valley, WA,"44,631","46,337","49,449"
Springfield, IL,"47,642","49,212","52,782"
Springfield, MA,"51,697","53,413","57,843"
Springfield, MO,"41,339","42,993","44,565"
Springfield, OH,"40,263","41,625","45,363"
State College, PA,"46,210","47,947","50,615"
Staunton, VA,"43,388","44,917","47,794"
Stockton, CA,"43,077","45,075","51,816"
Sumter, SC,"37,440","38,573","41,807"
Syracuse, NY,"49,369","51,181","55,563"
Tallahassee, FL,"42,507","44,003","46,685"
Tampa-St. Petersburg-Clearwater, FL,"47,362","49,186","52,291"
Terre Haute, IN,"37,284","38,502","41,658"
Texarkana, TX-AR,"37,667","38,802","41,516"
The Villages, FL,"48,902","53,411","54,533"
Toledo, OH,"46,790","48,252","51,408"
Topeka, KS,"46,180","47,253","50,479"
Trenton-Princeton, NJ,"68,052","70,675","74,218"
Tucson, AZ,"43,103","44,649","48,373"
Tulsa, OK,"55,350","56,680","58,071"
Tuscaloosa, AL,"38,107","39,482","42,084"
Twin Falls, ID,"38,784","40,414","43,725"
Tyler, TX,"56,084","55,986","57,076"
Urban Honolulu, HI,"57,468","59,329","62,793"
Utica-Rome, NY,"43,255","45,855","49,581"
Valdosta, GA,"35,953","37,045","40,046"
Vallejo, CA,"49,336","51,889","58,688"
Victoria, TX,"47,647","52,268","53,547"
Vineland-Bridgeton, NJ,"39,448","41,327","45,498"
Virginia Beach-Norfolk-Newport News, VA-NC,"48,322","49,792","53,310"
Visalia, CA,"38,613","40,040","46,348"
Waco, TX,"41,319","42,274","45,403"
Walla Walla, WA,"44,521","46,648","51,767"
Warner Robins, GA,"41,902","43,109","45,888"
Washington-Arlington-Alexandria, DC-VA-MD-WV,"71,615","73,059","76,771"
Waterloo-Cedar Falls, IA,"46,002","46,971","50,126"
Watertown-Fort Drum, NY,"46,375","48,896","53,964"
Wausau-Weston, WI,"49,489","51,329","54,305"
Weirton-Steubenville, WV-OH,"40,431","42,338","46,007"
Wenatchee, WA,"48,047","50,227","55,047"
Wheeling, WV-OH,"48,907","47,341","48,947"
Wichita, KS,"50,308","52,706","55,000"
Wichita Falls, TX,"43,262","44,754","46,954"
Williamsport, PA,"43,070","44,688","48,721"
Wilmington, NC,"44,226","46,620","48,744"
Winchester, VA-WV,"47,879","49,538","52,377"
Winston-Salem, NC,"43,881","45,600","48,151"
Worcester, MA-CT,"54,581","56,846","61,741"
Yakima, WA,"41,740","43,910","49,099"
York-Hanover, PA,"50,069","52,015","55,761"
Youngstown-Warren-Boardman, OH-PA,"42,094","43,047","46,635"
Yuba City, CA,"41,937","43,411","48,752"
Yuma, AZ,"33,672","35,065","40,800"
