Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2022,Santa Fe Plug-in Hybrid,Hyundai,351,12834,Sedan/Wagon,Plug-in Hybrid Electric,57,Auto,"1.6L I4
45 kW electric motor"
2022,Sienna AWD,Toyota,221,12941,Van,Hybrid Electric,45,Auto,2.5L I4
2022,Sonata Hybrid,Hyundai,351,12814,Sedan/Wagon,Hybrid Electric,45,Auto,2.0L I4
2022,Sonata Hybrid Blue,Hyundai,351,12815,Sedan/Wagon,Hybrid Electric,45,Auto,2.0L I4
2022,Sorento Hybrid AWD,Kia,361,12900,SUV,Hybrid Electric,45,Auto,1.6L I4
2022,Sorento Hybrid FWD,Kia,361,12821,SUV,Hybrid Electric,45,Auto,1.6L I4
2022,Sorento Plug-in Hybrid,Kia,361,12889,SUV,Plug-in Hybrid Electric,57,Auto,"1.6L I4
67 kW electric motor"
2022,Taycan 4 Cross Turismo,Porsche,391,12966,Sedan/Wagon,Electric,41,Auto,"175 and 320 kW electric motors
129 Ah battery"
2022,Taycan 4S Cross Turismo,Porsche,391,12967,Sedan/Wagon,Electric,41,Auto,"175 and 320 kW electric motors
129 Ah battery"
2022,Taycan 4S Perf Battery,Porsche,391,12960,Sedan/Wagon,Electric,41,Auto,"150 and 270 kW electric motors
129 Ah battery"
2022,Taycan 4S Perf Battery Plus,Porsche,391,12961,Sedan/Wagon,Electric,41,Auto,"175 and 320 kW electric motors
129 Ah battery"
2022,Taycan Perf Battery,Porsche,391,12964,Sedan/Wagon,Electric,41,Auto,"240 kW electric motor 
129 Ah battery"
2022,Taycan Perf Battery Plus,Porsche,391,12965,Sedan/Wagon,Electric,41,Auto,"280 kW electric motor 
129 Ah battery"
2022,Taycan Turbo,Porsche,391,12962,Sedan/Wagon,Electric,41,Auto,"170 and 335 kW electric motors
129 Ah battery"
2022,Taycan Turbo Cross Turismo,Porsche,391,12968,Sedan/Wagon,Electric,41,Auto,"175 and 355 kW electric motors
129 Ah battery"
2022,Taycan Turbo S,Porsche,391,12963,Sedan/Wagon,Electric,41,Auto,"190 and 335 kW electric motors
129 Ah battery"
2022,Taycan Turbo S Cross Turismo,Porsche,391,12969,Sedan/Wagon,Electric,41,Auto,"175 and 355 kW electric motors
129 Ah battery"
2022,Tucson Hybrid,Hyundai,351,12816,Sedan/Wagon,Hybrid Electric,45,Auto,1.6L I4
2022,Tucson Hybrid Blue,Hyundai,351,12817,Sedan/Wagon,Hybrid Electric,45,Auto,1.6L I4
2022,Tucson Plug-in Hybrid,Hyundai,351,12888,SUV,Plug-in Hybrid Electric,57,Auto,"1.6L I4
67 kW electric motor"
2022,UX 250h,Lexus,243,12905,Sedan/Wagon,Hybrid Electric,45,Auto,2.0L I4
2022,UX 250h AWD,Lexus,243,12906,Sedan/Wagon,Hybrid Electric,45,Auto,2.0L I4
2022,V60 T8 AWD Recharge,Volvo,395,12893,Sedan/Wagon,Plug-in Hybrid Electric,57,Auto,"2.0L I4
34 & 65 kW electric motors"
2022,Venza AWD,Toyota,221,12991,SUV,Hybrid Electric,45,Auto,2.5L I4
2022,Wagoneer 4x2,Jeep,275,12866,SUV,Hybrid Electric,45,Auto,5.7L V8
2022,Wagoneer 4x4,Jeep,275,12867,SUV,Hybrid Electric,45,Auto,5.7L V8
