Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2013,iQ EV,Scion,353,10557,Sedan/Wagon,Electric,41,Auto,
2014,500e,Fiat,379,11262,Sedan/Wagon,Electric,41,Auto,83kW electric motor
2014,Accord,Honda,209,11221,Sedan/Wagon,Hybrid Electric,45,ECVT,2.0L I4
2014,Accord Plug-in Hybrid,Honda,209,11279,Sedan/Wagon,Plug-in Hybrid Electric,57,ECVT,2.0L I4 124 kW electric motor
2014,ActiveHybrid 3,BMW,211,11214,Sedan/Wagon,Hybrid Electric,45,Auto,3.0L I6
2014,ActiveHybrid 5,BMW,211,11215,Sedan/Wagon,Hybrid Electric,45,Auto,3.0L I6
2014,ActiveHybrid 7,BMW,211,11213,Sedan/Wagon,Hybrid Electric,45,Auto,3.0L I6
2014,Avalon,Toyota,221,11241,Sedan/Wagon,Hybrid Electric,45,ECVT,2.5L I4
2014,B-Class Electric,Mercedes-Benz,239,11266,Sedan/Wagon,Electric,41,Auto,100 kW electric motor
2014,C-MAX Energi,Ford,219,11278,Sedan/Wagon,Plug-in Hybrid Electric,57,ECVT,2.0L I4 68 kW electric motor
