brandId,brandName,,,,,
1,Audi,,,,,
2,BMW,,,,,
3,Cadillac,,,,,
4,Chevrolet,,,,,
5,Chrysler,,,,,
6,Fiat,,,,,
7,Ford,,,,,
8,Honda,,,,,
9,Hyundai,,,,,
10,Jaguar,,,,,
11,Kia,,,,,
12,Mercedes,,,,,
13,Mini,,,,,
14,Mitsubishi,,,,,
15,Nissan,,,,,
16,Porsche,,,,,
17,smart,,,,,
18,Subaru,,,,,
19,Tesla,,,,,
20,Toyota,,,,,
21,Volkswagen,,,,,
22,Volvo,,,,,
