brandName,brandId,modelName,modelId,trimId,hasSales,range_km,usable_battery_kWh,acceleration_0-100km,top_speed_km/hr,energy_consumption_Wh/km,towing_weight_kg,url
Porsche,16,Taycan Turbo S Cross Turismo,41,15,1,405,83.7,2.9,250,217,1200,https://ev-database.org/car/1439/Porsche-Taycan-Turbo-S-Cross-Turismo
Porsche,16,Taycan Turbo S Sport Turismo,41,16,1,250,83.7,2.8,260,212,1200,https://ev-database.org/car/1626/Porsche-Taycan-Turbo-S-Sport-Turismo
Porsche,16,Taycan Turbo Sport Turismo,41,17,1,365,83.7,3.2,260,207,0,https://ev-database.org/car/1625/Porsche-Taycan-Turbo-Sport-Turismo
Smart,17,EQ forfour,42,2,1,100,16.7,12.7,130,176,1000,https://ev-database.org/car/1232/Smart-EQ-forfour
Smart,17,EQ fortwo cabrio,42,0,1,260,16.7,11.9,130,176,0,https://ev-database.org/car/1231/Smart-EQ-fortwo-cabrio
Smart,17,EQ fortwo coupe,42,1,1,290,16.7,11.6,130,167,0,https://ev-database.org/car/1230/Smart-EQ-fortwo-coupe
Subaru,18,Solterra AWD,71,0,0,485,71.4,7.7,160,190,0,https://ev-database.org/car/1567/Subaru-Solterra-AWD
Tesla,19,Model 3,44,0,1,460,57.5,6.1,225,151,0,https://ev-database.org/car/1555/Tesla-Model-3
Tesla,19,Model 3 Long Range Dual Motor,44,1,1,585,75.0,4.4,233,155,1200,https://ev-database.org/car/1591/Tesla-Model-3-Long-Range-Dual-Motor
Tesla,19,Model 3 Performance,44,2,1,560,75.0,3.3,261,163,1000,https://ev-database.org/car/1620/Tesla-Model-3-Performance
Tesla,19,Model S Long Range,45,0,1,490,95.0,3.2,250,162,1000,https://ev-database.org/car/1404/Tesla-Model-S-Long-Range
Tesla,19,Model S Plaid,45,1,1,465,95.0,2.1,322,170,1000,https://ev-database.org/car/1405/Tesla-Model-S-Plaid
Tesla,19,Model X Long Range,46,0,1,435,95.0,3.9,250,194,1000,https://ev-database.org/car/1407/Tesla-Model-X-Long-Range
Tesla,19,Model X Plaid,46,1,1,415,95.0,2.6,262,204,1200,https://ev-database.org/car/1408/Tesla-Model-X-Plaid
Tesla,19,Model Y Long Range Dual Motor,72,0,0,375,75.0,5.0,217,172,1000,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor
Tesla,19,Model Y Performance,72,1,0,380,75.0,3.7,250,181,1000,https://ev-database.org/car/1183/Tesla-Model-Y-Performance
Toyota,20,bZ4X AWD,73,1,0,175,71.4,7.7,160,190,1500,https://ev-database.org/car/1565/Toyota-bZ4X-AWD
Toyota,20,bZ4X FWD,73,0,0,245,71.4,8.4,160,188,1800,https://ev-database.org/car/1564/Toyota-bZ4X-FWD
Volkswagen,21,ID. Buzz,74,0,0,350,77.0,10.0,145,226,,https://ev-database.org/car/1651/Volkswagen-ID-Buzz
Volvo,22,C40 Recharge Pure Electric,75,0,0,315,67.0,7.4,160,206,,https://ev-database.org/car/1655/Volvo-C40-Recharge-Pure-Electric
Volvo,22,C40 Recharge Twin Pure Electric,75,1,0,340,75.0,4.7,180,214,,https://ev-database.org/car/1421/Volvo-C40-Recharge-Twin-Pure-Electric
Volvo,22,XC40 Recharge Pure Electric,76,0,0,,67.0,7.4,160,213,,https://ev-database.org/car/1592/Volvo-XC40-Recharge-Pure-Electric
Volvo,22,XC40 Recharge Twin Pure Electric,76,1,0,,75.0,4.9,180,221,,https://ev-database.org/car/1593/Volvo-XC40-Recharge-Twin-Pure-Electric
