month,date_id,model_id,monthly_sales
2011-01-01,"40,574",1,0
2011-02-01,"40,602",1,0
2011-03-01,"40,633",1,0
2011-04-01,"40,663",1,0
2011-05-01,"40,694",1,0
2011-06-01,"40,724",1,0
2011-07-01,"40,755",1,0
2011-08-01,"40,786",1,0
2011-09-01,"40,816",1,0
2011-10-01,"40,847",1,0
2011-11-01,"40,877",1,0
2011-12-01,"40,908",1,0
2012-01-01,"40,939",1,0
2012-02-01,"40,968",1,0
2012-03-01,"40,999",1,0
2012-04-01,"41,029",1,0
2012-05-01,"41,060",1,0
2012-06-01,"41,090",1,0
2012-07-01,"41,121",1,0
2012-08-01,"41,152",1,0
2012-09-01,"41,182",1,0
2012-10-01,"41,213",1,0
2012-11-01,"41,243",1,0
2012-12-01,"41,274",1,0
2013-01-01,"41,305",1,0
2013-02-01,"41,333",1,0
2013-03-01,"41,364",1,0
2013-04-01,"41,394",1,0
2013-05-01,"41,425",1,0
2013-06-01,"41,455",1,0
2013-07-01,"41,486",1,0
2013-08-01,"41,517",1,0
2013-09-01,"41,547",1,0
2013-10-01,"41,578",1,0
2013-11-01,"41,608",1,0
2013-12-01,"41,639",1,0
2014-01-01,"41,670",1,0
2014-02-01,"41,698",1,0
2014-03-01,"41,729",1,0
2014-04-01,"41,759",1,0
2014-05-01,"41,790",1,0
2014-06-01,"41,820",1,0
2014-07-01,"41,851",1,0
2014-08-01,"41,882",1,0
2014-09-01,"41,912",1,0
2014-10-01,"41,943",1,0
2014-11-01,"41,973",1,0
2014-12-01,"42,004",1,0
2015-01-01,"42,035",1,0
2015-02-01,"42,063",1,0
2015-03-01,"42,094",1,0
2015-04-01,"42,124",1,0
2015-05-01,"42,155",1,0
2015-06-01,"42,185",1,0
2015-07-01,"42,216",1,0
2015-08-01,"42,247",1,0
2015-09-01,"42,277",1,0
2015-10-01,"42,308",1,0
2015-11-01,"42,338",1,0
2015-12-01,"42,369",1,49
2016-01-01,"42,400",1,327
2016-02-01,"42,429",1,243
2016-03-01,"42,460",1,332
2016-04-01,"42,490",1,326
2016-05-01,"42,521",1,361
2016-06-01,"42,551",1,353
2016-07-01,"42,582",1,349
2016-08-01,"42,613",1,346
2016-09-01,"42,643",1,312
2016-10-01,"42,674",1,348
2016-11-01,"42,704",1,394
2016-12-01,"42,735",1,589
2017-01-01,"42,766",1,387
2017-02-01,"42,794",1,400
2017-03-01,"42,825",1,414
2017-04-01,"42,855",1,301
2017-05-01,"42,886",1,294
2017-06-01,"42,916",1,324
